umur,gender,a,b,c,d,e,f,g,h,i,j
22,1,4,4,4,4,4,4,4,4,4,4
19,1,5,4,3,3,4,5,5,3,3,5
19,1,2,1,5,4,3,2,5,2,1,4
19,1,5,3,3,4,5,5,5,1,4,5
18,1,5,5,4,5,5,5,5,4,4,5
18,1,4,2,4,4,4,4,5,1,3,5
23,1,3,3,1,3,3,3,3,1,1,2
19,1,1,2,2,2,2,2,3,2,2,2
24,1,5,5,3,4,4,4,4,3,2,4
20,1,4,3,5,4,2,3,4,2,1,5
21,1,4,4,4,4,4,4,4,5,3,3
20,1,5,5,3,4,4,4,4,3,3,3
20,1,4,3,3,3,3,3,4,3,2,3
19,1,5,5,5,5,5,5,5,2,3,5
19,1,5,3,3,4,4,4,5,1,3,2
19,1,4,4,3,4,4,4,4,4,4,4
19,1,3,3,3,2,3,3,3,1,2,2
19,1,5,3,5,5,5,5,4,3,2,4
19,1,4,3,1,5,5,5,5,3,3,5
25,1,4,5,4,5,5,5,5,5,3,5
18,2,4,5,2,2,4,5,5,1,3,5
20,1,4,5,2,3,4,4,5,2,2,3
19,2,3,2,3,4,3,3,4,2,3,4
19,1,4,4,5,4,4,3,4,2,3,4
20,1,4,3,4,3,3,3,5,2,3,5
20,1,2,2,2,2,2,2,2,2,4,3
19,2,3,3,3,3,3,4,3,2,3,3
20,1,5,5,3,5,5,5,4,5,3,4
20,1,5,5,4,5,5,5,5,4,3,5
19,1,5,5,5,5,5,5,5,5,5,5
19,1,1,1,1,1,1,1,1,5,1,1
19,1,3,4,3,3,4,3,3,2,2,4
20,1,5,5,5,5,5,5,5,3,1,3
21,1,3,3,4,4,4,4,4,4,3,4
19,2,3,3,3,3,3,3,2,5,3,3
20,1,3,4,2,3,3,3,3,2,2,3
20,2,4,4,5,4,3,3,5,2,2,4
19,1,1,1,1,1,1,1,1,1,1,1
19,2,4,4,4,4,4,5,5,4,5,5
20,1,5,5,5,5,5,5,4,2,4,5
20,1,4,4,5,4,4,4,4,4,4,4
19,1,5,5,5,5,5,5,5,5,5,4
20,2,2,2,3,2,2,1,1,3,3,2
19,1,4,4,2,5,4,4,5,2,1,5
21,1,5,4,3,4,4,4,4,3,4,5
19,1,4,4,2,3,4,4,5,2,3,4
20,1,4,5,3,4,4,4,4,3,3,3
20,1,4,4,4,3,4,4,3,4,4,4
20,1,5,5,5,5,5,5,5,4,4,4
23,1,4,5,3,4,4,5,5,3,3,2
20,1,5,5,4,3,4,5,4,4,3,3
23,1,3,3,2,3,2,2,4,5,1,2
20,1,3,3,2,3,4,4,5,5,2,4
19,1,4,3,5,4,3,4,5,3,2,3
23,2,2,2,4,4,2,4,4,2,2,2
19,2,4,3,2,4,4,4,5,3,2,3
20,1,5,4,2,4,4,4,5,4,1,3
19,1,5,5,3,5,5,5,4,5,2,4
19,1,4,3,3,3,4,4,2,3,1,4
20,1,4,3,4,4,4,4,3,2,2,3
19,1,4,3,4,3,2,3,4,1,3,3
20,1,5,4,2,4,4,5,5,4,2,5
21,1,3,2,3,3,2,3,4,1,3,3
20,1,5,5,3,5,4,4,4,3,1,3
19,1,4,3,3,4,4,3,5,2,1,3
20,1,4,4,4,5,5,5,5,3,2,4
19,1,4,3,4,4,3,4,5,2,2,3
20,1,5,4,2,4,4,4,3,3,3,4
19,1,4,3,2,4,4,4,5,2,3,4
20,1,4,4,3,5,4,4,5,3,1,2
21,1,3,2,3,3,3,4,5,1,3,3
19,1,5,4,3,4,5,5,5,4,2,4
20,1,4,3,3,4,4,5,4,3,1,4
19,1,4,4,4,5,4,5,5,4,3,3
20,1,5,5,2,4,4,4,3,3,2,2
19,1,5,5,3,5,5,5,5,4,1,3
19,1,4,3,3,4,4,4,5,3,2,4
20,1,4,4,3,4,4,4,4,2,3,3
19,1,5,4,3,4,5,5,5,5,2,5
19,1,3,2,2,3,2,3,4,1,3,3
20,1,4,3,4,4,4,5,4,3,1,3
20,1,5,5,2,5,5,5,5,5,4,4
19,1,5,5,4,4,4,5,5,4,4,5
20,1,4,4,2,4,4,5,4,4,3,4
20,1,4,4,2,4,4,5,5,2,4,4
19,1,5,4,3,4,4,5,5,3,4,5
19,1,4,4,4,4,3,4,4,2,4,3
19,1,4,3,3,4,4,3,4,3,3,4
20,1,5,4,4,4,4,4,5,3,4,4
19,1,4,3,2,4,3,4,5,3,4,5
21,1,4,4,5,4,4,5,5,4,5,5
19,1,4,4,4,5,5,3,4,5,3,3
19,1,4,3,3,4,3,4,4,2,4,4
19,1,5,5,3,5,4,5,5,5,2,5
19,1,3,4,3,4,3,3,4,4,3,3
20,1,5,3,4,4,4,5,5,3,4,4
19,1,4,4,4,4,4,4,4,4,3,3
20,1,5,4,4,4,5,5,5,4,4,5
19,1,5,5,2,5,5,5,5,5,4,4
19,2,3,3,3,4,3,4,5,3,3,3
21,1,5,5,5,5,5,5,5,4,4,5